pokemon,habilidades
Palkia,"Pressure,Telepathy,Pressure,Telepathy","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Dialga,"Pressure,Telepathy,Pressure,Telepathy","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Azelf,Levitate,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following extra moves when using the , feature in Pokémon Scarlet & Violet., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Mesprit,Levitate,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following extra moves when using the , feature in Pokémon Scarlet & Violet., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Uxie,Levitate,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following extra moves when using the , feature in Pokémon Scarlet & Violet., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Rotom,"Levitate,Levitate,Levitate,Levitate,Levitate,Levitate","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Froslass,"Snow Cloak,Cursed Body","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Dusknoir,"Pressure,Frisk","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Probopass,"Sturdy,Magnet Pull,Sand Force","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Gallade,"Steadfast,Sharpness,Justified,Inner Focus","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Porygon-Z,"Adaptability,Download,Analytic","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Mamoswine,"Oblivious,Snow Cloak,Thick Fat","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Gliscor,"Hyper Cutter,Sand Veil,Poison Heal","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Glaceon,"Snow Cloak,Ice Body","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Leafeon,"Leaf Guard,Chlorophyll","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Yanmega,"Speed Boost,Tinted Lens,Frisk","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following extra moves when using the , feature in Pokémon Scarlet & Violet., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Togekiss,"Hustle,Serene Grace,Super Luck","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Magmortar,"Flame Body,Vital Spirit","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Electivire,"Motor Drive,Vital Spirit","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Tangrowth,"Chlorophyll,Leaf Guard,Regenerator","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Rhyperior,"Lightning Rod,Solid Rock,Reckless","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Lickilicky,"Own Tempo,Oblivious,Cloud Nine","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Magnezone,"Magnet Pull,Sturdy,Analytic","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Weavile,"Pressure,Pickpocket","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Abomasnow,"Snow Warning,Soundproof,Snow Warning","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Snover,"Snow Warning,Soundproof","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Mantyke,"Swift Swim,Water Absorb,Water Veil","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Lumineon,"Swift Swim,Storm Drain,Water Veil","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Finneon,"Swift Swim,Storm Drain,Water Veil","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Carnivine,Levitate,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Toxicroak,"Anticipation,Dry Skin,Poison Touch","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Croagunk,"Anticipation,Dry Skin,Poison Touch","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Drapion,"Battle Armor,Sniper,Keen Eye","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Skorupi,"Battle Armor,Sniper,Keen Eye","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Hippowdon,"Sand Stream,Sand Force","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Hippopotas,"Sand Stream,Sand Force","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Lucario,"Steadfast,Inner Focus,Justified,Adaptability","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Riolu,"Steadfast,Inner Focus,Prankster","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Munchlax,"Pickup,Thick Fat,Gluttony","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Garchomp,"Sand Veil,Rough Skin,Sand Force","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Gabite,"Sand Veil,Rough Skin","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Gible,"Sand Veil,Rough Skin","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Spiritomb,"Pressure,Infiltrator","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Chatot,"Keen Eye,Tangled Feet,Big Pecks","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Happiny,"Natural Cure,Serene Grace,Friend Guard","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Mime Jr.,"Soundproof,Filter,Technician","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Bonsly,"Sturdy,Rock Head,Rattled","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Bronzong,"Levitate,Heatproof,Heavy Metal","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Bronzor,"Levitate,Heatproof,Heavy Metal","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Skuntank,"Stench,Aftermath,Keen Eye","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Stunky,"Stench,Aftermath,Keen Eye","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Chingling,Levitate,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Purugly,"Thick Fat,Own Tempo,Defiant","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Glameow,"Limber,Own Tempo,Keen Eye","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Honchkrow,"Insomnia,Super Luck,Moxie","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Mismagius,Levitate,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Lopunny,"Cute Charm,Klutz,Limber,Scrappy","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Buneary,"Run Away,Klutz,Limber","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Drifblim,"Aftermath,Unburden,Flare Boost","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Drifloon,"Aftermath,Unburden,Flare Boost","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Ambipom,"Technician,Pickup,Skill Link","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
